,cox1,nad6,atp8,cob,atp6,nad4L,rrnL,nad5,rrnS,nad3,cox3,nad1,cox2,nad4,nad2
cox1,1,0.03389830508474576,0.01694915254237288,0.1016949152542373,0.0,0.423728813559322,0.06779661016949153,0.1016949152542373,0.0,0.06779661016949153,0.0,0.7796610169491526,0.2033898305084746,0.0,0.0
nad6,0.03389830508474576,1,0.0,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,0.8983050847457628,0.0,0.0,0.01694915254237288,0.9491525423728814,0.0
atp8,0.01694915254237288,0.0,1,0.01694915254237288,0.9152542372881356,0.0,0.05084745762711865,0.0,0.0,0.0,0.0,0.11864406779661017,0.7627118644067796,0.0,0.0
cob,0.1016949152542373,0.01694915254237288,0.01694915254237288,1,0.05084745762711865,0.13559322033898305,0.0,0.13559322033898305,0.0,0.0,0.4745762711864407,0.1694915254237288,0.13559322033898305,0.15254237288135594,0.0
atp6,0.0,0.0,0.9152542372881356,0.05084745762711865,1,0.06779661016949153,0.0,0.0,0.0,0.0,0.9322033898305084,0.0,0.0,0.0,0.0
nad4L,0.423728813559322,0.01694915254237288,0.0,0.13559322033898305,0.06779661016949153,1,0.1864406779661017,0.0,0.05084745762711865,0.6779661016949152,0.0,0.01694915254237288,0.11864406779661017,0.0,0.13559322033898305
rrnL,0.06779661016949153,0.01694915254237288,0.05084745762711865,0.0,0.0,0.1864406779661017,1,0.01694915254237288,0.8135593220338984,0.0,0.01694915254237288,0.01694915254237288,0.4406779661016949,0.13559322033898305,0.0
nad5,0.1016949152542373,0.0,0.0,0.13559322033898305,0.0,0.0,0.01694915254237288,1,0.4576271186440678,0.0,0.01694915254237288,0.05084745762711865,0.1864406779661017,0.01694915254237288,0.9830508474576272
rrnS,0.0,0.0,0.0,0.0,0.0,0.05084745762711865,0.8135593220338984,0.4576271186440678,1,0.1016949152542373,0.2711864406779661,0.0,0.05084745762711865,0.0,0.0
nad3,0.06779661016949153,0.8983050847457628,0.0,0.0,0.0,0.6779661016949152,0.0,0.0,0.1016949152542373,1,0.0,0.13559322033898305,0.03389830508474576,0.01694915254237288,0.0
cox3,0.0,0.0,0.0,0.4745762711864407,0.9322033898305084,0.0,0.01694915254237288,0.01694915254237288,0.2711864406779661,0.0,1,0.05084745762711865,0.0,0.01694915254237288,0.22033898305084745
nad1,0.7796610169491526,0.0,0.11864406779661017,0.1694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.0,0.13559322033898305,0.05084745762711865,1,0.01694915254237288,0.0,0.4745762711864407
cox2,0.2033898305084746,0.01694915254237288,0.7627118644067796,0.13559322033898305,0.0,0.11864406779661017,0.4406779661016949,0.1864406779661017,0.05084745762711865,0.03389830508474576,0.0,0.01694915254237288,1,0.0,0.0
nad4,0.0,0.9491525423728814,0.0,0.15254237288135594,0.0,0.0,0.13559322033898305,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,1,0.01694915254237288
nad2,0.0,0.0,0.0,0.0,0.0,0.13559322033898305,0.0,0.9830508474576272,0.0,0.0,0.22033898305084745,0.4745762711864407,0.0,0.01694915254237288,1
